outcome,model,term,coef,std_err_cluster_country,t_value,p_value,ci_low,ci_high,stars,nobs,r2,adj_r2,clusters_country,formula
efficiency_vitality_w,Baseline_M3,lnTradeOpen_lag1,1.8099138465585613e-05,0.0005597922129082821,0.03233188681127836,0.9742968421965018,-0.0010978262428681003,0.0011340245197992717,,1689,0.9966849790300527,0.9964740041605098,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + asinhInflation_winsor_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M3,asinhFDI_lag1,6.579186281681048e-05,4.036033546036888e-05,1.630111892439884,0.10744526395867192,-1.4664995461686098e-05,0.00014624872109530705,,1689,0.9966849790300527,0.9964740041605098,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + asinhInflation_winsor_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M3,asinhInflation_winsor_lag1,6.617087126048948e-05,8.293725746007093e-05,0.7978425292438274,0.4275854575876406,-9.916152980501747e-05,0.00023150327232599643,,1689,0.9966849790300527,0.9964740041605098,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + asinhInflation_winsor_lag1 + C(country) + C(year)
flow_betweenness_log1p_w,Baseline_M1,flow_betweenness_log1p_w_lag1,0.8076861145026669,0.022539568371390005,35.83414292564189,6.208675951421288e-49,0.7627849917997401,0.8525872372055937,***,1803,0.9950774190463072,0.9947881957235285,76,flow_betweenness_log1p_w ~ flow_betweenness_log1p_w_lag1 + populism_gov_annual_l1 + C(country) + C(year)
flow_betweenness_log1p_w,Baseline_M1,populism_gov_annual_l1,0.051576353902089214,0.02695294365511594,1.91357035291021,0.0594913184381014,-0.0021166632099683044,0.10526937101414674,*,1803,0.9950774190463072,0.9947881957235285,76,flow_betweenness_log1p_w ~ flow_betweenness_log1p_w_lag1 + populism_gov_annual_l1 + C(country) + C(year)
flow_betweenness_log1p_w,Baseline_M2,flow_betweenness_log1p_w_lag1,0.6788357316377647,0.04226936457323947,16.05975719037736,1.6790457221016366e-25,0.5945732933750638,0.7630981699004655,***,1715,0.9942796426427072,0.9939252214929368,73,flow_betweenness_log1p_w ~ flow_betweenness_log1p_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
flow_betweenness_log1p_w,Baseline_M2,populism_gov_annual_l1,0.04509760751504499,0.0239711555468357,1.8813280580876326,0.06397034795628002,-0.002688017718356618,0.09288323274844659,*,1715,0.9942796426427072,0.9939252214929368,73,flow_betweenness_log1p_w ~ flow_betweenness_log1p_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
flow_betweenness_log1p_w,Baseline_M2,lnGDP_lag1,0.1638413823609197,0.03545489169059122,4.621122066617364,1.6337169042339276e-05,0.09316334751578335,0.234519417206056,***,1715,0.9942796426427072,0.9939252214929368,73,flow_betweenness_log1p_w ~ flow_betweenness_log1p_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
flow_betweenness_log1p_w,Baseline_M2,lnTradeOpen_lag1,0.21682897439007837,0.06119913014567194,3.543007455726276,0.0006988837760754083,0.0948307381332831,0.3388272106468736,***,1715,0.9942796426427072,0.9939252214929368,73,flow_betweenness_log1p_w ~ flow_betweenness_log1p_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
flow_betweenness_log1p_w,Baseline_M2,asinhFDI_lag1,-0.0010809405769634864,0.0031985582618803336,-0.33794618964609224,0.7363871238559168,-0.007457149937867254,0.005295268783940281,,1715,0.9942796426427072,0.9939252214929368,73,flow_betweenness_log1p_w ~ flow_betweenness_log1p_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
